Traffic Police Station,Total Challan,Total Challan Amount,Paid Challan,Paid Challan Amount,Unpaid Challan,Unpaid Challan Amount
Malwani Police Station,48637,36442500,3769,2773300,44868,33669200
Khar Police Station,38622,27949250,5542,3737450,33080,24211800
N.M.Joshi Police Station,32974,28806450,8398,8059600,24576,20746850
Andheri Police Station,30054,24366000,4618,3354350,25436,21011650
Dharavi Police Station,28841,19006050,7068,4145300,21773,14860750
Borivali Police Station,27054,22895050,5586,4410200,21468,18484850
Mulund Police Station,24574,18267550,3122,2115900,21452,16151650
R.A.K Marg Police Station,23829,17512600,3925,2977200,19904,14535400
Ghatkopar Police Station,22964,17430100,2807,2191400,20157,15238700
Pydhonie Police Station,20796,17816250,3339,3002100,17457,14814150
Malad Police Station,19991,15583150,3578,2550650,16413,13032500
Nagpada Police Station,19223,16625950,3427,2837850,15796,13788100
Kandivali Police Station,19082,14998450,2830,2087950,16252,12910500
Kherwadi Police Station,18736,15077250,2780,2436250,15956,12641000
Jogeshawari Police Station,18062,13628200,4576,3293250,13486,10334950
Juhu Police Station,17780,11844950,3844,2612150,13936,9232800
Meghwadi Police Station,15203,11047100,2325,1584150,12878,9462950
Dahisar Police Station,15116,12642950,2397,2050350,12719,10592600
Oshiwara Police Station,14879,12891800,2560,2186550,12319,10705250
Kasturba Police Station,14671,12827650,2905,2477350,11766,10350300
Amboli Police Station,14517,10839600,2880,2248250,11637,8591350
V.P.Road Police Station,14086,14727200,3602,3794150,10484,10933050
Tilak Nagar Police Station,13290,11280450,2855,2634750,10435,8645700
Worli Police Station,12647,9384550,2749,2188900,9898,7195650
Navghar Police Station,12420,8107500,1835,1079050,10585,7028450
Byculla Police Station,12213,9015150,2493,1740050,9720,7275100
Nehru Nagar Police Station,11772,8805100,2115,1507300,9657,7297800
Goregaon Police Station,10675,7588400,2110,1435200,8565,6153200
Chembur Police Station,10652,8370850,1839,1463250,8813,6907600
Kurla Police Station,9581,8883550,1324,1236750,8257,7646800
Nirmal Nagar Police Station,9520,7397650,1530,1259600,7990,6138050
D.B.Marg Police Station,9487,9305050,2718,2664000,6769,6641050
Tardeo Police Station,9353,6769450,2160,1495550,7193,5273900
Samatanagar Police Station,9252,7541450,1799,1346750,7453,6194700
Kurar Police Station,9024,8990400,1241,1115900,7783,7874500
Bhoiwada Police Station,8994,7744450,1637,1321550,7357,6422900
Agripada Police Station,8955,6309300,1816,1230900,7139,5078400
MIDC Police Station,8407,8478100,1563,1413400,6844,7064700
L.T.Marg Police Station,8403,7218150,2821,2538000,5582,4680150
Deonar Police Station,7555,5845050,1041,948450,6514,4896600
Sahar Police Station,7461,5242650,1522,1007800,5939,4234850
Trombe Police Station,7368,5106400,1016,665300,6352,4441100
Cuff Pared Police Station,6828,6207550,1463,1430800,5365,4776750
Shivaji Park Police Station,6637,5601150,1810,1448600,4827,4152550
D.N.Nagar Police Station,6580,4319950,1185,904850,5395,3415100
J.J.Marg Police Station,6208,4907800,1037,916250,5171,3991550
Dongri Police Station,5851,5540200,1000,988850,4851,4551350
Sakinaka Police Station,5664,4236050,754,522300,4910,3713750
Shahunagar Police Station,5618,5514600,1082,1152150,4536,4362450
Colaba Police Station,5453,3900350,1595,1023550,3858,2876800
Varsova Police Station,5180,3631700,769,496150,4411,3135550
Shivaji Nagar Police Station,4786,3917650,379,288900,4407,3628750
Sewree Police Station,4739,3671950,1015,779000,3724,2892950
Bangurnagar Police Station,4604,3925950,674,486550,3930,3439400
Wadala Police Station,4519,3867500,590,468600,3929,3398900
Kanjurmarg Police Station,4429,2996900,936,593000,3493,2403900
Vileparle Police Station,4144,3615250,977,865750,3167,2749500
Vinoba Bhave Nagar Police Station,3932,3110000,589,530850,3343,2579150
Chuna Bhatti Police Station,3765,3218000,865,719450,2900,2498550
R.C.F Police Station,3717,2814350,542,387500,3175,2426850
Govandi Police Station,3694,2986000,687,561900,3007,2424100
Powai Police Station,3523,2366550,584,365150,2939,2001400
Vikroli Police Station,3499,2112800,411,249450,3088,1863350
Vanrai Police Station,3126,2692400,808,779250,2318,1913150
Parksite Police Station,3031,1981000,466,334450,2565,1646550
Santacruz Police Station,3002,2733000,573,523100,2429,2209900
Antop Hill Police Station,2885,2163700,366,262750,2519,1900950
Airport Police Station,2825,1999450,682,438250,2143,1561200
Gamdevi Police Station,2791,2675500,1247,1313900,1544,1361600
Wadala Truck Terminal Police Station,2622,1812200,356,236100,2266,1576100
Bandra Police Station,2459,1990200,456,361500,2003,1628700
Dadar Police Station,2444,1405750,567,306800,1877,1098950
Bhandup Police Station,2201,1726700,342,251200,1859,1475500
Dindoshi Police Station,2188,1683800,365,267400,1823,1416400
Pantnagar Police Station,1916,1146800,435,241700,1481,905100
Sion Police Station,1893,1584800,322,226050,1571,1358750
Yellow Gate Police Station,1752,1339100,322,218550,1430,1120550
Kalachowki Police Station,1561,1305700,485,398050,1076,907650
Mahim Police Station,1465,1456100,374,343200,1091,1112900
Aarey Police Station,1415,1011000,205,142900,1210,868100
Gorai Police Station,1284,1056000,198,155000,1086,901000
Vakola Police Station,1205,1039350,241,176100,964,863250
Matunga Police Station,1033,997700,190,174700,843,823000
Charkop Police Station,981,775500,140,108550,841,666950
Mankhurd Police Station,959,699150,126,107700,833,591450
Malbarhill Police Station,823,785250,268,264700,555,520550
B.K.C Police Station,631,556350,114,92700,517,463650
M.H.B Police Station,574,554850,86,82550,488,472300
Azad maidan Police Station,496,434050,131,124450,365,309600
Marin Drive Police Station,110,84050,24,18100,86,65950
M.R.A. Marg Police Station,4,11000,0,0,4,11000
Grand Total,847766,670772400,152895,120347450,694871,550424950
